"RT- 472178 - University of Washington, Seattle",,,,,,,,,,,,,,,,,,,
Report Date 2022-02-14,,,,,,,,,,,,,,,,,,,
"Data refreshed nightly, Monday - Saturday. Last refresh at 2022-02-14 01:45 AM",,,,,,,,,,,,,,,,,,,
Year/Quarter: Autumn 2014 - Autumn 2021,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Academic_Year,Term,Course_Number,Course_Title,Student_Count,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average_GPA,
2016-17,20164 (Autumn 2016),A A 198 A,SPECIAL TOPICS,26,10,12,3,,,,,,,,,,1,3.7,
2016-17,20164 (Autumn 2016),A A 210 B,ENGR STATICS,296,2,52,96,70,51,13,6,,1,,,,5,3.1,
2016-17,20164 (Autumn 2016),A A 310 A,ORB SPACE FLIGHT,81,6,30,16,13,8,3,2,1,,,1,1,,3.1,
2016-17,20164 (Autumn 2016),A A 311 A,ATM FLIGHT MECH,80,6,20,14,23,8,6,3,,,,,,,3.1,
2016-17,20164 (Autumn 2016),A A 320 A,AEROSPACE INSTR,82,11,25,17,21,5,1,,,,,,2,,3.2,
2016-17,20164 (Autumn 2016),A A 402 A,FLUID MECHANICS,26,6,6,4,6,3,,,,,,,,1,3.4,
2016-17,20164 (Autumn 2016),A A 405 A,AEROSPACE PLASMAS,37,4,6,9,7,4,3,2,,,,,,2,3.1,
2016-17,20164 (Autumn 2016),A A 430 A,FINTE ELEMENT ANALYS,47,6,23,5,6,3,,,,,,,,4,3.5,
2016-17,20164 (Autumn 2016),A A 447 A,CONT IN AEROSP,74,8,26,15,10,9,4,,,1,,,,1,3.2,
2016-17,20164 (Autumn 2016),A A 461 A,ADV AIRBREATH PROPL,21,3,7,5,4,2,,,,,,,,,3.4,
2016-17,20164 (Autumn 2016),A A 470 A,SYSTEMS ENGINEERING,20,7,9,2,,,1,,,,,,,1,3.6,
2016-17,20164 (Autumn 2016),A A 498 D,SPECIAL TOPICS,19,2,5,4,4,1,,1,1,,,,,1,3.2,
2016-17,20164 (Autumn 2016),A A 527 A,SPACE POWER SYSTEM,17,4,9,1,2,1,,,,,,,,,3.5,
2016-17,20164 (Autumn 2016),A A 530 A,MECHANICS OF SOLIDS,18,10,7,,,,,,,,,,,1,3.8,
2016-17,20164 (Autumn 2016),A A 532 B,MECH COMP MATERIALS,24,4,7,7,6,,,,,,,,,,3.4,
2016-17,20164 (Autumn 2016),A E 501 B,ANALYTICAL METHODS,33,2,3,9,11,4,,,1,,,,,3,3.1,
2016-17,20164 (Autumn 2016),A E 523 B,AIRCRAFT NOISE,17,3,6,5,2,1,,,,,,,,,3.4,
2016-17,20164 (Autumn 2016),A E 542 B,FATIGUE & FRACTURE,19,13,4,,2,,,,,,,,,,3.8,
2016-17,20164 (Autumn 2016),A E 559 B,AE TOPICS: COMPSTS,19,3,10,4,1,1,,,,,,,,,3.5,
2016-17,20164 (Autumn 2016),A S 101 B,FOUNDATION USAF I,21,12,7,1,,1,,,,,,,,,3.7,
2016-17,20164 (Autumn 2016),A S 101 C,FOUNDATION USAF I,18,17,1,,,,,,,,,,,,3.9,
2016-17,20164 (Autumn 2016),A S 211 A,AIR & SPACE PWR I,25,14,6,2,,,1,2,,,,,,,3.6,
